Timestamp,From Bank,To Bank,text_formatAccount,Amount Received,Amount Paid,text_formatReceiving Currency,text_formatPayment Currency,text_formatPayment Format
2023-01-04 13:00:00,Bank C,Bank A,ACC000085,473.06278148740387,3404.4620291078722,EUR,USD,SWIFT
2023-01-04 14:00:00,Bank B,Bank C,ACC000086,1367.3513198232224,3312.0211504602444,EUR,GBP,ACH
2023-01-04 15:00:00,Bank A,Bank C,ACC000087,771.1726300191261,1146.5378122179147,EUR,USD,ACH
2023-01-04 16:00:00,Bank D,Bank C,ACC000088,1517.4070052898755,535.8238593173843,EUR,USD,ACH
2023-01-04 17:00:00,Bank B,Bank A,ACC000089,1959.7411693212985,1327.910926159297,GBP,GBP,SWIFT
2023-01-04 18:00:00,Bank D,Bank C,ACC000090,3674.714226857115,2813.6279572166227,GBP,EUR,SWIFT
2023-01-04 19:00:00,Bank D,Bank D,ACC000091,1070.3205952742712,3054.4407364638278,EUR,USD,WIRE
2023-01-04 20:00:00,Bank B,Bank A,ACC000092,5647.456397276042,713.6009217288897,EUR,EUR,SWIFT
2023-01-04 21:00:00,Bank B,Bank B,ACC000093,2719.008749494293,1503.2322410216436,GBP,EUR,WIRE
2023-01-04 22:00:00,Bank B,Bank D,ACC000094,540.5355758584257,296.2553334559275,EUR,USD,SWIFT
2023-01-04 23:00:00,Bank B,Bank B,ACC000095,9995.154112233673,2936.4307817648914,GBP,USD,SWIFT
2023-01-05 00:00:00,Bank B,Bank C,ACC000096,1520.8041397690458,501.0426580532,GBP,USD,ACH
2023-01-05 01:00:00,Bank D,Bank D,ACC000097,475.7419074906816,2404.8801787461534,GBP,EUR,SWIFT
2023-01-05 02:00:00,Bank B,Bank A,ACC000098,5726.8049350390975,347.4759391007614,GBP,GBP,ACH
2023-01-05 03:00:00,Bank A,Bank D,ACC000099,8758.479407098057,3076.0940526247236,USD,GBP,SWIFT
2023-01-05 04:00:00,Bank C,Bank B,ACC000100,1061.0080611547335,1512.9780257022437,EUR,USD,WIRE
2023-01-05 05:00:00,Bank B,Bank A,ACC000101,662.7181188170665,502.02117716171784,EUR,EUR,SWIFT
2023-01-05 06:00:00,Bank B,Bank D,ACC000102,7534.251419913815,16245.47426723521,EUR,USD,ACH
2023-01-05 07:00:00,Bank D,Bank D,ACC000103,2241.1215858775013,607.6738506563461,GBP,EUR,ACH
2023-01-05 08:00:00,Bank B,Bank D,ACC000104,3935.74966599564,2320.5396316100546,GBP,GBP,ACH
2023-01-05 09:00:00,Bank B,Bank D,ACC000105,1940.0855147687087,833.7124215578358,GBP,GBP,ACH
2023-01-05 10:00:00,Bank B,Bank A,ACC000106,1214.0573468931564,196.1643590419001,EUR,USD,SWIFT
2023-01-05 11:00:00,Bank D,Bank B,ACC000107,4905.006858690647,410.5853233383054,GBP,USD,ACH
2023-01-05 12:00:00,Bank B,Bank D,ACC000108,802.044046313215,713.074063797043,USD,GBP,ACH
2023-01-05 13:00:00,Bank C,Bank A,ACC000109,3074.566941735422,4307.827620863519,EUR,EUR,SWIFT
2023-01-05 14:00:00,Bank D,Bank B,ACC000110,822.1617909393087,2700.3687872330083,USD,GBP,ACH
2023-01-05 15:00:00,Bank C,Bank D,ACC000111,1687.5329660803511,5562.8253370412485,USD,EUR,WIRE
2023-01-05 16:00:00,Bank D,Bank B,ACC000112,978.9077753769636,5730.942125663334,EUR,USD,WIRE
2023-01-05 17:00:00,Bank B,Bank B,ACC000113,1037.0628535597455,642.4244327202642,USD,GBP,ACH
2023-01-05 18:00:00,Bank C,Bank A,ACC000114,751.9076289317512,908.2440683656464,USD,USD,WIRE
2023-01-05 19:00:00,Bank D,Bank B,ACC000115,4208.468278673116,726.8499613294931,GBP,GBP,ACH
2023-01-05 20:00:00,Bank A,Bank A,ACC000116,4493.191655363458,4254.315321336065,USD,USD,SWIFT
2023-01-05 21:00:00,Bank B,Bank D,ACC000117,523.0974352860768,173.904324825622,GBP,GBP,WIRE
2023-01-05 22:00:00,Bank D,Bank B,ACC000118,9145.283545304856,1080.578993959565,USD,GBP,WIRE
2023-01-05 23:00:00,Bank A,Bank B,ACC000119,2915.6485601488607,303.2126596285519,EUR,USD,SWIFT
2023-01-06 00:00:00,Bank D,Bank C,ACC000120,100.97634700109414,1059.7921876145454,EUR,GBP,WIRE
2023-01-06 01:00:00,Bank A,Bank D,ACC000121,623.1213360815678,9097.644470144602,EUR,GBP,ACH
2023-01-06 02:00:00,Bank B,Bank D,ACC000122,179.11188428307292,658.9547738328833,EUR,GBP,ACH
2023-01-06 03:00:00,Bank C,Bank C,ACC000123,423.8201991074301,1332.4491655457844,GBP,GBP,WIRE
2023-01-06 04:00:00,Bank A,Bank C,ACC000124,47.53590564330644,2715.2746454834196,USD,USD,SWIFT
2023-01-06 05:00:00,Bank D,Bank A,ACC000125,956.2414293277385,1451.4107478336766,USD,USD,ACH
2023-01-06 06:00:00,Bank B,Bank A,ACC000126,350.0437619599724,1469.2159761629362,EUR,GBP,ACH
2023-01-06 07:00:00,Bank A,Bank B,ACC000127,1164.3348477334519,763.2591092117914,GBP,GBP,WIRE
2023-01-06 08:00:00,Bank D,Bank B,ACC000128,215.91368927050047,869.6771274891197,GBP,USD,SWIFT
2023-01-06 09:00:00,Bank D,Bank B,ACC000129,1191.4327496264457,419.8886167165382,EUR,GBP,ACH
2023-01-06 10:00:00,Bank D,Bank B,ACC000130,724.2116774919039,2555.6069005413287,USD,EUR,SWIFT
2023-01-06 11:00:00,Bank A,Bank A,ACC000131,4924.376591502329,192.1945890406827,EUR,USD,WIRE
2023-01-06 12:00:00,Bank A,Bank D,ACC000132,4497.859346259375,2896.007485812295,USD,GBP,WIRE
2023-01-06 13:00:00,Bank A,Bank B,ACC000133,16075.625961121119,2432.300952545245,EUR,EUR,ACH
2023-01-06 14:00:00,Bank C,Bank D,ACC000134,791.069810073146,2871.5501189445436,USD,GBP,SWIFT
2023-01-06 15:00:00,Bank A,Bank B,ACC000135,7985.481786404326,769.8398250459304,GBP,GBP,SWIFT
2023-01-06 16:00:00,Bank A,Bank C,ACC000136,232.05275131086873,319.9393068998421,EUR,GBP,WIRE
2023-01-06 17:00:00,Bank A,Bank B,ACC000137,269.4657703074957,1957.2557529369642,USD,EUR,WIRE
2023-01-06 18:00:00,Bank C,Bank B,ACC000138,1008.4975218328054,2776.003368536688,USD,EUR,WIRE
2023-01-06 19:00:00,Bank A,Bank B,ACC000139,10446.665430608957,707.6299955243701,USD,USD,WIRE
2023-01-06 20:00:00,Bank D,Bank A,ACC000140,895.7497643683797,2254.335542067326,USD,GBP,WIRE
2023-01-06 21:00:00,Bank A,Bank C,ACC000141,913.0172341293767,111.59938122250726,GBP,GBP,ACH
2023-01-06 22:00:00,Bank D,Bank B,ACC000142,259.3269559844193,292.7747992516289,USD,EUR,ACH
2023-01-06 23:00:00,Bank D,Bank B,ACC000143,2824.056442884112,3993.4425423797684,GBP,GBP,SWIFT
2023-01-07 00:00:00,Bank D,Bank D,ACC000144,2844.5957763217875,876.8454278413755,USD,GBP,ACH
2023-01-07 01:00:00,Bank C,Bank C,ACC000145,2414.0840080399535,170.33833644012537,GBP,GBP,ACH
2023-01-07 02:00:00,Bank C,Bank B,ACC000146,584.5131784261424,545.1897065770364,GBP,EUR,ACH
2023-01-07 03:00:00,Bank C,Bank D,ACC000147,540.9318127517543,435.5456128184192,USD,GBP,SWIFT
2023-01-07 04:00:00,Bank A,Bank D,ACC000148,300.930021074588,928.9345354102778,GBP,GBP,ACH
2023-01-07 05:00:00,Bank D,Bank A,ACC000149,1192.5778477465203,756.9135273447555,EUR,USD,SWIFT
2023-01-07 06:00:00,Bank C,Bank D,ACC000150,372.26005057201263,1311.506465227297,USD,GBP,SWIFT
2023-01-07 07:00:00,Bank C,Bank B,ACC000151,337.8437446815511,1023.0400844171194,EUR,EUR,ACH
2023-01-07 08:00:00,Bank A,Bank A,ACC000152,717.884923904297,4271.580827990021,GBP,EUR,ACH
2023-01-07 09:00:00,Bank C,Bank A,ACC000153,672.393560645196,1676.642565249489,GBP,GBP,ACH
2023-01-07 10:00:00,Bank A,Bank B,ACC000154,640.3542066688916,1733.108006486866,EUR,USD,WIRE
2023-01-07 11:00:00,Bank B,Bank C,ACC000155,1748.379428186293,3516.2737843135033,USD,GBP,SWIFT
2023-01-07 12:00:00,Bank C,Bank D,ACC000156,1186.837875823428,743.397763638546,EUR,GBP,SWIFT
2023-01-07 13:00:00,Bank B,Bank A,ACC000157,822.0851425929029,310.4809530449294,GBP,GBP,WIRE
2023-01-07 14:00:00,Bank A,Bank C,ACC000158,1316.8699218145603,3666.417567367928,USD,EUR,WIRE
2023-01-07 15:00:00,Bank D,Bank B,ACC000159,406.86155134856733,1256.1939427285386,EUR,GBP,ACH
2023-01-07 16:00:00,Bank C,Bank D,ACC000160,1218.3815076656551,1260.6102497532593,EUR,EUR,WIRE
2023-01-07 17:00:00,Bank A,Bank D,ACC000161,1274.8738261899193,582.1161966875347,USD,USD,WIRE
2023-01-07 18:00:00,Bank D,Bank A,ACC000162,243.94752498872052,591.7857537288356,EUR,GBP,WIRE
2023-01-07 19:00:00,Bank D,Bank D,ACC000163,2968.148849178982,2557.338475817908,USD,EUR,SWIFT
2023-01-07 20:00:00,Bank B,Bank D,ACC000164,3359.6308394951852,26673.33795636894,USD,EUR,WIRE
2023-01-07 21:00:00,Bank A,Bank D,ACC000165,1200.2795886821166,2401.4389657928396,EUR,EUR,ACH
2023-01-07 22:00:00,Bank D,Bank D,ACC000166,3513.6537889198903,2423.484368863277,USD,GBP,SWIFT
2023-01-07 23:00:00,Bank C,Bank B,ACC000167,2767.4366059663394,1937.2593310112354,USD,USD,SWIFT
2023-01-08 00:00:00,Bank C,Bank C,ACC000168,1134.9380972596766,1250.7801180597005,GBP,EUR,WIRE
2023-01-08 01:00:00,Bank B,Bank B,ACC000169,763.1854054536243,920.2269419710315,GBP,GBP,WIRE
2023-01-08 02:00:00,Bank D,Bank B,ACC000170,2828.528550435772,3678.7336310478668,GBP,EUR,WIRE
2023-01-08 03:00:00,Bank A,Bank A,ACC000171,16833.899215483463,4078.7478823050005,EUR,EUR,WIRE
2023-01-08 04:00:00,Bank C,Bank D,ACC000172,590.8930165512129,1587.6007826422804,EUR,GBP,ACH
2023-01-08 05:00:00,Bank D,Bank B,ACC000173,495.2716267617703,490.7756025501891,EUR,EUR,WIRE
2023-01-08 06:00:00,Bank D,Bank D,ACC000174,138.0539869316089,567.1937539892123,EUR,EUR,ACH
2023-01-08 07:00:00,Bank B,Bank B,ACC000175,1279.2533183767396,865.9658140953463,USD,GBP,WIRE
2023-01-08 08:00:00,Bank C,Bank B,ACC000176,1009.5926937477584,490.8122261943073,USD,USD,WIRE
2023-01-08 09:00:00,Bank C,Bank A,ACC000177,3415.883242207043,2435.3647658749724,GBP,USD,ACH
2023-01-08 10:00:00,Bank A,Bank C,ACC000178,8690.106906100216,2587.972833693974,USD,USD,WIRE
2023-01-08 11:00:00,Bank C,Bank C,ACC000179,4163.990691129536,1211.0337629423352,EUR,USD,SWIFT
2023-01-08 12:00:00,Bank A,Bank B,ACC000180,546.009170878071,1252.0132026376477,USD,GBP,ACH
2023-01-08 13:00:00,Bank C,Bank A,ACC000181,3422.58136681486,179.32511112196636,GBP,GBP,ACH
2023-01-08 14:00:00,Bank B,Bank D,ACC000182,646.18356573068,705.5489691728864,EUR,USD,SWIFT
2023-01-08 15:00:00,Bank C,Bank D,ACC000183,2386.5308465383446,1416.1533098317827,USD,GBP,ACH
2023-01-08 16:00:00,Bank A,Bank B,ACC000184,254.99440595063493,1683.6645780695703,GBP,USD,WIRE
2023-01-08 17:00:00,Bank A,Bank C,ACC000185,1387.3285901607583,893.9883925816845,USD,EUR,ACH
2023-01-08 18:00:00,Bank B,Bank A,ACC000186,150.70315763837198,2157.8943871784036,GBP,EUR,ACH
2023-01-08 19:00:00,Bank C,Bank C,ACC000187,839.5470448335019,983.0733567693098,GBP,EUR,SWIFT
2023-01-08 20:00:00,Bank C,Bank D,ACC000188,1703.3530910044792,1111.7080685649917,GBP,USD,ACH
2023-01-08 21:00:00,Bank B,Bank C,ACC000189,651.3397847140145,1410.435595987423,EUR,EUR,WIRE
2023-01-08 22:00:00,Bank C,Bank D,ACC000190,383.58543430739434,2771.0999902110752,USD,USD,ACH
2023-01-08 23:00:00,Bank C,Bank A,ACC000191,2555.79464335891,557.9570552959983,USD,GBP,ACH
2023-01-09 00:00:00,Bank A,Bank A,ACC000192,9539.882928371399,3565.071409648665,EUR,EUR,SWIFT
2023-01-09 01:00:00,Bank C,Bank B,ACC000193,672.1149301907988,561.7761765899767,EUR,EUR,SWIFT
2023-01-09 02:00:00,Bank C,Bank B,ACC000194,1143.553640203222,786.6648372805902,USD,EUR,ACH
2023-01-09 03:00:00,Bank B,Bank C,ACC000195,101971.28604565904,33913.50938300816,EUR,GBP,WIRE
2023-01-09 04:00:00,Bank B,Bank A,ACC000196,3475.5320346687436,1944.4322659495424,EUR,USD,SWIFT
2023-01-09 05:00:00,Bank D,Bank A,ACC000197,3507.201370874254,353.86314941978543,USD,EUR,SWIFT
2023-01-09 06:00:00,Bank A,Bank B,ACC000198,1695.1835770468351,601.5760939592533,GBP,EUR,WIRE
2023-01-09 07:00:00,Bank C,Bank D,ACC000199,1295.284022626066,1592.0332060786448,EUR,USD,SWIFT
2023-01-09 08:00:00,Bank C,Bank C,ACC000200,99.87483097000964,442.96564624888833,USD,EUR,ACH
2023-01-09 09:00:00,Bank D,Bank C,ACC000201,556.139773329101,530.9458078134246,USD,EUR,SWIFT
2023-01-09 10:00:00,Bank C,Bank B,ACC000202,678.1887128832058,4208.912863673635,USD,EUR,WIRE
2023-01-09 11:00:00,Bank A,Bank A,ACC000203,168.19229466766893,593.8485802884,EUR,USD,ACH
2023-01-09 12:00:00,Bank D,Bank B,ACC000204,344.6688874936107,2848.83898343343,GBP,EUR,WIRE
2023-01-09 13:00:00,Bank A,Bank B,ACC000205,151.2847055963081,3848.0553259618064,GBP,GBP,WIRE
2023-01-09 14:00:00,Bank D,Bank B,ACC000206,5763.688346790787,3662.896444998928,USD,USD,WIRE
2023-01-09 15:00:00,Bank D,Bank B,ACC000207,2486.834687256413,450.35557771526317,EUR,EUR,WIRE
2023-01-09 16:00:00,Bank B,Bank D,ACC000208,3316.8622799486366,832.0295138078893,EUR,GBP,SWIFT
2023-01-09 17:00:00,Bank A,Bank D,ACC000209,1660.3512611683,369.21247056738895,GBP,GBP,SWIFT
2023-01-09 18:00:00,Bank C,Bank A,ACC000210,418.4693538950285,1237.7294340401722,GBP,GBP,SWIFT
2023-01-09 19:00:00,Bank C,Bank B,ACC000211,158.84594632116688,892.7870513865699,EUR,GBP,SWIFT
2023-01-09 20:00:00,Bank A,Bank D,ACC000212,189.2618111357204,1572.7485175834236,GBP,GBP,ACH
2023-01-09 21:00:00,Bank C,Bank A,ACC000213,308.28276276709204,4433.494845672463,USD,EUR,SWIFT
2023-01-09 22:00:00,Bank C,Bank B,ACC000214,450.8525301855997,2483.6511161919857,GBP,GBP,WIRE
2023-01-09 23:00:00,Bank A,Bank C,ACC000215,934.7241901806556,1788.6917673718578,EUR,USD,ACH
2023-01-10 00:00:00,Bank D,Bank D,ACC000216,397.7548186332682,153.53853640724358,USD,EUR,SWIFT
2023-01-10 01:00:00,Bank A,Bank A,ACC000217,1539.1350683041185,1708.5083896901972,EUR,EUR,SWIFT
2023-01-10 02:00:00,Bank D,Bank C,ACC000218,869.333214080015,6140.292513886602,GBP,GBP,ACH
2023-01-10 03:00:00,Bank C,Bank B,ACC000219,1108.2591299295116,54.02665217964592,GBP,GBP,SWIFT
2023-01-10 04:00:00,Bank C,Bank B,ACC000220,3429.7771001564106,2185.024986592234,USD,EUR,WIRE
2023-01-10 05:00:00,Bank C,Bank B,ACC000221,336.8939747278017,935.0887319278679,USD,USD,WIRE
2023-01-10 06:00:00,Bank B,Bank D,ACC000222,1666.872805320627,468.81348227910706,USD,EUR,WIRE
2023-01-10 07:00:00,Bank D,Bank A,ACC000223,1081.4162152560802,2443.357956636191,USD,EUR,WIRE
2023-01-10 08:00:00,Bank B,Bank C,ACC000224,785.6518214484863,6061.459554295466,GBP,GBP,SWIFT
2023-01-10 09:00:00,Bank B,Bank A,ACC000225,2657.8061899398285,2380.8925773008186,EUR,USD,WIRE
2023-01-10 10:00:00,Bank A,Bank D,ACC000226,2641.2673943439045,756.5798266947661,GBP,GBP,SWIFT
2023-01-10 11:00:00,Bank B,Bank A,ACC000227,425.60394362111964,426.8916250844927,GBP,GBP,SWIFT
2023-01-10 12:00:00,Bank A,Bank D,ACC000228,914.0080840805145,1267.2793453346608,USD,GBP,SWIFT
2023-01-10 13:00:00,Bank A,Bank B,ACC000229,1452.747227616458,2625.874578719731,USD,GBP,SWIFT
2023-01-10 14:00:00,Bank B,Bank C,ACC000230,834.6339554068542,744.6743239683348,EUR,USD,ACH
2023-01-10 15:00:00,Bank D,Bank B,ACC000231,1968.4886258508966,820.2564279208672,EUR,GBP,ACH
2023-01-10 16:00:00,Bank D,Bank A,ACC000232,1452.7186600970144,18434.888268940365,GBP,GBP,ACH
2023-01-10 17:00:00,Bank D,Bank B,ACC000233,6853.818631313383,3224.882988576566,EUR,USD,WIRE
2023-01-10 18:00:00,Bank D,Bank C,ACC000234,237.3939183396893,3463.824756208905,USD,EUR,SWIFT
2023-01-10 19:00:00,Bank D,Bank B,ACC000235,970.2599354143497,254.6051958834509,USD,GBP,SWIFT
2023-01-10 20:00:00,Bank B,Bank C,ACC000236,442.08292981210786,540.671194606377,USD,EUR,WIRE
2023-01-10 21:00:00,Bank B,Bank C,ACC000237,2006.4202747753254,1181.6672446862906,GBP,GBP,ACH
2023-01-10 22:00:00,Bank C,Bank B,ACC000238,217.6369069955845,402.97013081473466,EUR,GBP,SWIFT
